  Transition   |     Aki      | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |Type|
  Wavenumber   |    (s^-1)    |      |           (cm-1)       (cm-1)           |---------------------|---------------------|    |
      (�)      |              |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |    |
 27351.065     | 6.7464e+01   | AAA  |  82259.158         -   [109610.2232]    | 2      |      |     | 40     |      |     |    |
 27347.505     | 7.6576e+01   | AAA  |  82259.158         -   [109606.6628]    | 2      |      |     | 39     |      |     |    |
 27343.660     | 8.7206e+01   | AAA  |  82259.158         -   [109602.8177]    | 2      |      |     | 38     |      |     |    |
 27339.65      | 9.9657e+01   | AAA  |  82259.158         -   [109598.6566]    | 2      |      |     | 37     |      |     |    |
 27335.16      | 1.1430e+02   | AAA  |  82259.158         -   [109594.1439]    | 2      |      |     | 36     |      |     |    |
 27329.3       | 1.3161e+02   | AAA  |  82259.158         -   [109589.2390]    | 2      |      |     | 35     |      |     |    |
 27324.70      | 1.5216e+02   | AAA  |  82259.158         -   [109583.8949]    | 2      |      |     | 34     |      |     |    |
 27319.03      | 1.7669e+02   | AAA  |  82259.158         -   [109578.0577]    | 2      |      |     | 33     |      |     |    |
 27312.2       | 2.0612e+02   | AAA  |  82259.158         -   [109571.6647]    | 2      |      |     | 32     |      |     |    |
 27305.15      | 2.4162e+02   | AAA  |  82259.158         -   [109564.6431]    | 2      |      |     | 31     |      |     |    |
 27298.1       | 2.8474e+02   | AAA  |  82259.158         -   [109556.9077]    | 2      |      |     | 30     |      |     |    |
 27289.2       | 3.3742e+02   | AAA  |  82259.158         -   [109548.3584]    | 2      |      |     | 29     |      |     |    |
 27280.0       | 4.0224e+02   | AAA  |  82259.158         -   [109538.8768]    | 2      |      |     | 28     |      |     |    |
 27269.32      | 4.8261e+02   | AAA  |  82259.158         -   [109528.3223]    | 2      |      |     | 27     |      |     |    |
 27257.06      | 5.8304e+02   | AAA  |  82259.158         -   [109516.5267]    | 2      |      |     | 26     |      |     |    |
 27244.28      | 7.0963e+02   | AAA  |  82259.158         -   [109503.2875]    | 2      |      |     | 25     |      |     |    |
 27230.4       | 8.7069e+02   | AAA  |  82259.158         -   [109488.3592]    | 2      |      |     | 24     |      |     |    |
 27211.95      | 1.0777e+03   | AAA  |  82259.158         -   [109471.4416]    | 2      |      |     | 23     |      |     |    |
 27192.96      | 1.3467e+03   | AAA  |  82259.158         -   [109452.1650]    | 2      |      |     | 22     |      |     |    |
 27170.84      | 1.7005e+03   | AAA  |  82259.158         -   [109430.0696]    | 2      |      |     | 21     |      |     |    |
 27145.36      | 2.1719e+03   | AAA  |  82259.158         -   [109404.5776]    | 2      |      |     | 20     |      |     |    |
 27115.85      | 2.8093e+03   | AAA  |  82259.158         -   [109374.9555]    | 2      |      |     | 19     |      |     |    |
 27081.18      | 3.6851e+03   | AAA  |  82259.158         -   [109340.2604]    | 2      |      |     | 18     |      |     |    |
 27040.11      | 4.9101e+03   | AAA  |  82259.158         -   [109299.2642]    | 2      |      |     | 17     |      |     |    |
 26991.19      | 6.6583e+03   | AAA  |  82259.158         -   [109250.3433]    | 2      |      |     | 16     |      |     |    |
 26932.15      | 9.2102e+03   | AAA  |  82259.158         -   [109191.3154]    | 2      |      |     | 15     |      |     |    |
 26860.03      | 1.3032e+04   | AAA  |  82259.158         -   [109119.1917]    | 2      |      |     | 14     |      |     |    |
 26770.67      | 1.8927e+04   | AAA  |  82259.158         -   [109029.7913]    | 2      |      |     | 13     |      |     |    |
 26658.2012654 | 4.8748e+05   | AAA  |  82258.9191133     -    108917.1203787  | 2p     | 2P*  | 1/2 | 12d    | 2D   | 3/2 |    |
 26658.19975   | 2.9828e+04   | AAA  |  82258.9191133     -   [108917.11886]   | 2p     | 2P*  | 1/2 | 12s    | 2S   | 1/2 |    |
 26658.183     |              |      |                                         |        |      |     |        |      |     |    |
 26658.16599   | 3.5544e+05   | AAA  |  82258.9543992821  -   [108917.12039]   | 2s     | 2S   | 1/2 | 12p    | 2P*  | 3/2 |    |
 26658.16430   | 3.5544e+05   | AAA  |  82258.9543992821  -   [108917.11870]   | 2s     | 2S   | 1/2 | 12p    | 2P*  | 1/2 |    |
 26658.02      | 2.8337e+04   | AAA  |  82259.158         -    108917.1209     | 2      |      |     | 12     |      |     |    |
 26658.012     |              |      |                                         |        |      |     |        |      |     |    |
 26657.8359420 | 5.8495e+05   | AAA  |  82259.2850014     -    108917.12094342 | 2p     | 2P*  | 3/2 | 12d    | 2D   | 5/2 |    |
 26657.8359    |              |      |                                         |        |      |     |        |      |     |    |
 26657.8353773 | 9.7489e+04   | AAA  |  82259.2850014     -    108917.1203787  | 2p     | 2P*  | 3/2 | 12d    | 2D   | 3/2 |    |
 26657.83386   | 5.9661e+04   | AAA  |  82259.2850014     -   [108917.11886]   | 2p     | 2P*  | 3/2 | 12s    | 2S   | 1/2 |    |
 26513.424423  | 6.3659e+05   | AAA  |  82258.9191133     -   [108772.343536]  | 2p     | 2P*  | 1/2 | 11d    | 2D   | 3/2 |    |
 26513.42246   | 3.8791e+04   | AAA  |  82258.9191133     -   [108772.34157]   | 2p     | 2P*  | 1/2 | 11s    | 2S   | 1/2 |    |
 26513.406     |              |      |                                         |        |      |     |        |      |     |    |
 26513.38915   | 4.6164e+05   | AAA  |  82258.9543992821  -   [108772.34355]   | 2s     | 2S   | 1/2 | 11p    | 2P*  | 3/2 |    |
 26513.38695   | 4.6164e+05   | AAA  |  82258.9543992821  -   [108772.34135]   | 2s     | 2S   | 1/2 | 11p    | 2P*  | 1/2 |    |
 26513.235     |              |      |                                         |        |      |     |        |      |     |    |
 26513.21      | 4.3972e+04   | AAA  |  82259.158         -    108772.3445     | 2      |      |     | 11     |      |     |    |
 26513.059269  | 7.6387e+05   | AAA  |  82259.2850014     -   [108772.344270]  | 2p     | 2P*  | 3/2 | 11d    | 2D   | 5/2 |    |
 26513.0589    |              |      |                                         |        |      |     |        |      |     |    |
 26513.058535  | 1.2731e+05   | AAA  |  82259.2850014     -   [108772.343536]  | 2p     | 2P*  | 3/2 | 11d    | 2D   | 3/2 |    |
 26513.05657   | 7.7590e+04   | AAA  |  82259.2850014     -   [108772.34157]   | 2p     | 2P*  | 3/2 | 11s    | 2S   | 1/2 |    |
 26323.0743117 | 8.5386e+05   | AAA  |  82258.9191133     -   [108581.9934250] | 2p     | 2P*  | 1/2 | 10d    | 2D   | 3/2 |    |
 26323.07169   | 5.1748e+04   | AAA  |  82258.9191133     -   [108581.99080]   | 2p     | 2P*  | 1/2 | 10s    | 2S   | 1/2 |    |
 26323.056     |              |      |                                         |        |      |     |        |      |     |    |
 26323.03904   | 6.1475e+05   | AAA  |  82258.9543992821  -   [108581.99344]   | 2s     | 2S   | 1/2 | 10p    | 2P*  | 3/2 |    |
 26323.03611   | 6.1476e+05   | AAA  |  82258.9543992821  -   [108581.99051]   | 2s     | 2S   | 1/2 | 10p    | 2P*  | 1/2 |    |
 26322.885     |              |      |                                         |        |      |     |        |      |     |    |
 26322.80      | 7.1225e+04   | AAA  |  82259.158         -    108581.9945     | 2      |      |     | 10     |      |     |    |
 26322.7093995 | 1.0246e+06   | AAA  |  82259.2850014     -    108581.9944009  | 2p     | 2P*  | 3/2 | 10d    | 2D   | 5/2 |    |
 26322.7094    |              |      |                                         |        |      |     |        |      |     |    |
 26322.7084236 | 1.7076e+05   | AAA  |  82259.2850014     -   [108581.9934250] | 2p     | 2P*  | 3/2 | 10d    | 2D   | 3/2 |    |
 26322.70580   | 1.0351e+05   | AAA  |  82259.2850014     -   [108581.99080]   | 2p     | 2P*  | 3/2 | 10s    | 2S   | 1/2 |    |
 26065.805049  | 1.1836e+06   | AAA  |  82258.9191133     -   [108324.724162]  | 2p     | 2P*  | 1/2 | 9d     | 2D   | 3/2 |    |
 26065.80144   | 7.1201e+04   | AAA  |  82258.9191133     -   [108324.72055]   | 2p     | 2P*  | 1/2 | 9s     | 2S   | 1/2 |    |
 26065.786     |              |      |                                         |        |      |     |        |      |     |    |
 26065.76978   | 8.4384e+05   | AAA  |  82258.9543992821  -   [108324.72418]   | 2s     | 2S   | 1/2 | 9p     | 2P*  | 3/2 |    |
 26065.76576   | 8.4385e+05   | AAA  |  82258.9543992821  -   [108324.72016]   | 2s     | 2S   | 1/2 | 9p     | 2P*  | 1/2 |    |
 26065.615     |              |      |                                         |        |      |     |        |      |     |    |
 26065.53      | 1.2156e+05   | AAA  |  82259.158         -    108324.7253     | 2      |      |     | 9      |      |     |    |
 26065.440500  | 1.4203e+06   | AAA  |  82259.2850014     -   [108324.725501]  | 2p     | 2P*  | 3/2 | 9d     | 2D   | 5/2 |    |
 26065.4401    |              |      |                                         |        |      |     |        |      |     |    |
 26065.439161  | 2.3671e+05   | AAA  |  82259.2850014     -   [108324.724162]  | 2p     | 2P*  | 3/2 | 9d     | 2D   | 3/2 |    |
 26065.43555   | 1.4242e+05   | AAA  |  82259.2850014     -   [108324.72055]   | 2p     | 2P*  | 3/2 | 9s     | 2S   | 1/2 |    |
 25706.1357527 | 1.7103e+06   | AAA  |  82258.9191133     -    107965.0548660  | 2p     | 2P*  | 1/2 | 8d     | 2D   | 3/2 |    |
 25706.1306012 | 1.0180e+05   | AAA  |  82258.9191133     -    107965.0497145  | 2p     | 2P*  | 1/2 | 8s     | 2S   | 1/2 |    |
 25706.117     |              |      |                                         |        |      |     |        |      |     |    |
 25706.1004760 | 1.2025e+06   | AAA  |  82258.9543992821  -   [107965.0548753] | 2s     | 2S   | 1/2 | 8p     | 2P*  | 3/2 |    |
 25706.0947590 | 1.2026e+06   | AAA  |  82258.9543992821  -   [107965.0491583] | 2s     | 2S   | 1/2 | 8p     | 2P*  | 1/2 |    |
 25705.945     |              |      |                                         |        |      |     |        |      |     |    |
 25705.84      | 2.2148e+05   | AAA  |  82259.158         -    107965.0568     | 2      |      |     | 8      |      |     |    |
 25705.7717703 | 2.0523e+06   | AAA  |  82259.2850014     -    107965.05677174 | 2p     | 2P*  | 3/2 | 8d     | 2D   | 5/2 |    |
 25705.7717    |              |      |                                         |        |      |     |        |      |     |    |
 25705.7698646 | 3.4205e+05   | AAA  |  82259.2850014     -    107965.0548660  | 2p     | 2P*  | 3/2 | 8d     | 2D   | 3/2 |    |
 25705.7647131 | 2.0363e+05   | AAA  |  82259.2850014     -    107965.0497145  | 2p     | 2P*  | 3/2 | 8s     | 2S   | 1/2 |    |
 25181.527909  | 2.6093e+06   | AAA  |  82258.9191133     -   [107440.447022]  | 2p     | 2P*  | 1/2 | 7d     | 2D   | 3/2 |    |
 25181.52022   | 1.5289e+05   | AAA  |  82258.9191133     -   [107440.43933]   | 2p     | 2P*  | 1/2 | 7s     | 2S   | 1/2 |    |
 25181.509     |              |      |                                         |        |      |     |        |      |     |    |
 25181.49263   | 1.7972e+06   | AAA  |  82258.9543992821  -   [107440.44703]   | 2s     | 2S   | 1/2 | 7p     | 2P*  | 3/2 |    |
 25181.48410   | 1.7972e+06   | AAA  |  82258.9543992821  -   [107440.43850]   | 2s     | 2S   | 1/2 | 7p     | 2P*  | 1/2 |    |
 25181.337     |              |      |                                         |        |      |     |        |      |     |    |
 25181.32      | 4.3889e+05   | AAA  |  82259.158         -    107440.4508     | 2      |      |     | 7      |      |     |    |
 25181.164865  | 3.1311e+06   | AAA  |  82259.2850014     -   [107440.449866]  | 2p     | 2P*  | 3/2 | 7d     | 2D   | 5/2 |    |
 25181.1642    |              |      |                                         |        |      |     |        |      |     |    |
 25181.162021  | 5.2183e+05   | AAA  |  82259.2850014     -   [107440.447022]  | 2p     | 2P*  | 3/2 | 7d     | 2D   | 3/2 |    |
 25181.15433   | 3.0581e+05   | AAA  |  82259.2850014     -   [107440.43933]   | 2p     | 2P*  | 3/2 | 7s     | 2S   | 1/2 |    |
 24373.2429403 | 4.2877e+06   | AAA  |  82258.9191133     -   [106632.1620536] | 2p     | 2P*  | 1/2 | 6d     | 2D   | 3/2 |    |
 24373.2307283 | 2.4501e+05   | AAA  |  82258.9191133     -    106632.1498416  | 2p     | 2P*  | 1/2 | 6s     | 2S   | 1/2 |    |
 24373.223     |              |      |                                         |        |      |     |        |      |     |    |
 24373.2076763 | 2.8583e+06   | AAA  |  82258.9543992821  -   [106632.1620756] | 2s     | 2S   | 1/2 | 6p     | 2P*  | 3/2 |    |
 24373.1941249 | 2.8584e+06   | AAA  |  82258.9543992821  -   [106632.1485242] | 2s     | 2S   | 1/2 | 6p     | 2P*  | 1/2 |    |
 24373.05      | 9.7320e+05   | AAA  |  82259.158         -    106632.1681     | 2      |      |     | 6      |      |     |    |
 24373.051     |              |      |                                         |        |      |     |        |      |     |    |
 24372.8815683 | 5.1450e+06   | AAA  |  82259.2850014     -    106632.1665697  | 2p     | 2P*  | 3/2 | 6d     | 2D   | 5/2 |    |
 24372.8810    |              |      |                                         |        |      |     |        |      |     |    |
 24372.8770522 | 8.5748e+05   | AAA  |  82259.2850014     -   [106632.1620536] | 2p     | 2P*  | 3/2 | 6d     | 2D   | 3/2 |    |
 24372.8648402 | 4.9006e+05   | AAA  |  82259.2850014     -    106632.1498416  | 2p     | 2P*  | 3/2 | 6s     | 2S   | 1/2 |    |
 23032.732880  | 7.8548e+06   | AAA  |  82258.9191133     -    105291.651993   | 2p     | 2P*  | 1/2 | 5d     | 2D   | 3/2 |    |
 23032.712     |              |      |                                         |        |      |     |        |      |     |    |
 23032.71183   | 4.2955e+05   | AAA  |  82258.9191133     -   [105291.63094]   | 2p     | 2P*  | 1/2 | 5s     | 2S   | 1/2 |    |
 23032.69769   | 4.9483e+06   | AAA  |  82258.9543992821  -    105291.65209    | 2s     | 2S   | 1/2 | 5p     | 2P*  | 3/2 |    |
 23032.67427   | 4.9484e+06   | AAA  |  82258.9543992821  -    105291.62867    | 2s     | 2S   | 1/2 | 5p     | 2P*  | 1/2 |    |
 23032.539     |              |      |                                         |        |      |     |        |      |     |    |
 23032.49      | 2.5304e+06   | AAA  |  82259.158         -    105291.657      | 2      |      |     | 5      |      |     |    |
 23032.374795  | 9.4254e+06   | AAA  |  82259.2850014     -   [105291.659796]  | 2p     | 2P*  | 3/2 | 5d     | 2D   | 5/2 |    |
 23032.3733    |              |      |                                         |        |      |     |        |      |     |    |
 23032.366992  | 1.5709e+06   | AAA  |  82259.2850014     -    105291.651993   | 2p     | 2P*  | 3/2 | 5d     | 2D   | 3/2 |    |
 23032.34594   | 8.5920e+05   | AAA  |  82259.2850014     -   [105291.63094]   | 2p     | 2P*  | 3/2 | 5s     | 2S   | 1/2 |    |
 20564.975137  | 1.7188e+07   | AAA  |  82258.9191133     -    102823.894250   | 2p     | 2P*  | 1/2 | 4d     | 2D   | 3/2 |    |
 20564.952     |              |      |                                         |        |      |     |        |      |     |    |
 20564.9399183 | 9.6680e+06   | AAA  |  82258.9543992821  -    102823.8943175  | 2s     | 2S   | 1/2 | 4p     | 2P*  | 3/2 |    |
 20564.9339078 | 8.5941e+05   | AAA  |  82258.9191133     -    102823.8530211  | 2p     | 2P*  | 1/2 | 4s     | 2S   | 1/2 |    |
 20564.8941832 | 9.6682e+06   | AAA  |  82258.9543992821  -    102823.8485825  | 2s     | 2S   | 1/2 | 4p     | 2P*  | 1/2 |    |
 20564.779     |              |      |                                         |        |      |     |        |      |     |    |
 20564.67      | 8.4193e+06   | AAA  |  82259.158         -    102823.904      | 2      |      |     | 4      |      |     |    |
 20564.6244857 | 2.0625e+07   | AAA  |  82259.2850014     -    102823.9094871  | 2p     | 2P*  | 3/2 | 4d     | 2D   | 5/2 |    |
 20564.6216    |              |      |                                         |        |      |     |        |      |     |    |
 20564.609249  | 3.4375e+06   | AAA  |  82259.2850014     -    102823.894250   | 2p     | 2P*  | 3/2 | 4d     | 2D   | 3/2 |    |
 20564.5680197 | 1.7190e+06   | AAA  |  82259.2850014     -    102823.8530211  | 2p     | 2P*  | 3/2 | 4s     | 2S   | 1/2 |    |
 15233.40033   | 5.3877e+07   | AAA  |  82258.9191133     -     97492.319433   | 2p     | 2P*  | 1/2 | 3d     | 2D   | 3/2 |    |
 15233.390     |              |      |                                         |        |      |     |        |      |     |    |
 15233.372     |              |      |                                         |        |      |     |        |      |     |    |
 15233.365214  | 2.2448e+07   | AAA  |  82258.9543992821  -     97492.319611   | 2s     | 2S   | 1/2 | 3p     | 2P*  | 3/2 |    |
 15233.302588  | 2.1046e+06   | AAA  |  82258.9191133     -     97492.221701   | 2p     | 2P*  | 1/2 | 3s     | 2S   | 1/2 |    |
 15233.260     |              |      |                                         |        |      |     |        |      |     |    |
 15233.256799  | 2.2449e+07   | AAA  |  82258.9543992821  -     97492.211200   | 2s     | 2S   | 1/2 | 3p     | 2P*  | 1/2 |    |
 15233.21      | 4.4101e+07   | AAA  |  82259.158         -     97492.304      | 2      |      |     | 3      |      |     |    |
 15233.202     |              |      |                                         |        |      |     |        |      |     |    |
 15233.07061   | 6.4651e+07   | AAA  |  82259.2850014     -     97492.355566   | 2p     | 2P*  | 3/2 | 3d     | 2D   | 5/2 |    |
 15233.0670    |              |      |                                         |        |      |     |        |      |     |    |
 15233.065     |              |      |                                         |        |      |     |        |      |     |    |
 15233.034432  | 1.0775e+07   | AAA  |  82259.2850014     -     97492.319433   | 2p     | 2P*  | 3/2 | 3d     | 2D   | 3/2 |    |
 15232.936700  | 4.2097e+06   | AAA  |  82259.2850014     -     97492.221701   | 2p     | 2P*  | 3/2 | 3s     | 2S   | 1/2 |    |
