        Observed         |          Ritz           |   Transition   |   Rel. |     Aki      |     fik      | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |  gi   gk  |Type|    TP  |      Line  |
       Wavelength        |       Wavelength        |   Wavenumber   |   Int. |    (s^-1)    |              |      |           (cm-1)       (cm-1)           |---------------------|---------------------|           |    |   Ref. |      Ref.  |
         Vac (�)         |         Vac (�)         |       (�)      |        |              |              |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |           |    |        |            |
                         |           3836.443947   | 26065.805049   |        | 1.1836e+06   | 5.2234e-03   | AAA  |  82258.9191133     -   [108324.724162]  | 2p     | 2P*  | 1/2 | 9d     | 2D   | 3/2 |   2 - 4   |    |  T7771 |            |
                         |           3836.444479   | 26065.80144    |        | 7.1201e+04   | 1.5711e-04   | AAA  |  82258.9191133     -   [108324.72055]   | 2p     | 2P*  | 1/2 | 9s     | 2S   | 1/2 |   2 - 2   |    |  T7771 |            |
                         |           3836.4468     | 26065.786      |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c48  |
                         |           3836.449138   | 26065.76978    |        | 8.4384e+05   | 3.7240e-03   | AAA  |  82258.9543992821  -   [108324.72418]   | 2s     | 2S   | 1/2 | 9p     | 2P*  | 3/2 |   2 - 4   |    |  T7771 |            |
                         |           3836.449672   | 26065.76615    |        |              |              |      |  82258.9543992821  -   [108324.72055]   | 2s     | 2S   | 1/2 | 9s     | 2S   | 1/2 |   2 - 2   | M1 |        |            |
                         |           3836.449729   | 26065.76576    |        | 8.4385e+05   | 1.8620e-03   | AAA  |  82258.9543992821  -   [108324.72016]   | 2s     | 2S   | 1/2 | 9p     | 2P*  | 1/2 |   2 - 2   |    |  T7771 |            |
                         |           3836.4720     | 26065.615      |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c49  |
           3836.485      |           3836.4789     | 26065.53       |  30000 | 1.2156e+05   | 5.4317e-03   | AAA  |  82259.158         -    108324.7253     | 2      |      |     | 9      |      |     |   8 - 162 |    |  T8637 |  L7436c29  |
                         |           3836.497603   | 26065.440500   |        | 1.4203e+06   | 4.7011e-03   | AAA  |  82259.2850014     -   [108324.725501]  | 2p     | 2P*  | 3/2 | 9d     | 2D   | 5/2 |   4 - 6   |    |  T7771 |            |
                         |           3836.4977     | 26065.4401     |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c50  |
                         |           3836.497800   | 26065.439161   |        | 2.3671e+05   | 5.2233e-04   | AAA  |  82259.2850014     -   [108324.724162]  | 2p     | 2P*  | 3/2 | 9d     | 2D   | 3/2 |   4 - 4   |    |  T7771 |            |
                         |           3836.498332   | 26065.43555    |        | 1.4242e+05   | 1.5713e-04   | AAA  |  82259.2850014     -   [108324.72055]   | 2p     | 2P*  | 3/2 | 9s     | 2S   | 1/2 |   4 - 2   |    |  T7771 |            |
                         |           3890.12183558 | 25706.1357527  |        | 1.7103e+06   | 7.7604e-03   | AAA  |  82258.9191133     -    107965.0548660  | 2p     | 2P*  | 1/2 | 8d     | 2D   | 3/2 |   2 - 4   |    |  T7771 |            |
                         |           3890.12261516 | 25706.1306012  |        | 1.0180e+05   | 2.3096e-04   | AAA  |  82258.9191133     -    107965.0497145  | 2p     | 2P*  | 1/2 | 8s     | 2S   | 1/2 |   2 - 2   |    |  T7771 |            |
                         |           3890.1247     | 25706.117      |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c51  |
           3890.12688721 |           3890.12688704 | 25706.10237246 |        |              |              |      |  82258.9543992821  -    107965.05677174 | 2s     | 2S   | 1/2 | 8d     | 2D   | 5/2 |   2 - 6   | E2 |        |    L11759  |
                         |           3890.12717403 | 25706.1004760  |        | 1.2025e+06   | 5.4563e-03   | AAA  |  82258.9543992821  -   [107965.0548753] | 2s     | 2S   | 1/2 | 8p     | 2P*  | 3/2 |   2 - 4   |    |  T7771 |            |
           3890.12717562 |           3890.12717543 | 25706.1004667  |        |              |              |      |  82258.9543992821  -    107965.0548660  | 2s     | 2S   | 1/2 | 8d     | 2D   | 3/2 |   2 - 4   | E2 |        |    L11759  |
           3890.12795519 |           3890.12795501 | 25706.0953152  |        |              |              |      |  82258.9543992821  -    107965.0497145  | 2s     | 2S   | 1/2 | 8s     | 2S   | 1/2 |   2 - 2   | M1 |        |    L11759  |
                         |           3890.12803918 | 25706.0947590  |        | 1.2026e+06   | 2.7284e-03   | AAA  |  82258.9543992821  -   [107965.0491583] | 2s     | 2S   | 1/2 | 8p     | 2P*  | 1/2 |   2 - 2   |    |  T7771 |            |
                         |           3890.1506     | 25705.945      |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c52  |
           3890.166      |           3890.1577     | 25705.84       |  70000 | 2.2148e+05   | 8.0397e-03   | AAA  |  82259.158         -    107965.0568     | 2      |      |     | 8      |      |     |   8 - 128 |    |  T8637 |  L7436c29  |
                         |           3890.17691799 | 25705.7717703  |        | 2.0523e+06   | 6.9844e-03   | AAA  |  82259.2850014     -    107965.05677174 | 2p     | 2P*  | 3/2 | 8d     | 2D   | 5/2 |   4 - 6   |    |  T7771 |            |
                         |           3890.1769     | 25705.7717     |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c53  |
                         |           3890.17720639 | 25705.7698646  |        | 3.4205e+05   | 7.7604e-04   | AAA  |  82259.2850014     -    107965.0548660  | 2p     | 2P*  | 3/2 | 8d     | 2D   | 3/2 |   4 - 4   |    |  T7771 |            |
                         |           3890.17798599 | 25705.7647131  |        | 2.0363e+05   | 2.3100e-04   | AAA  |  82259.2850014     -    107965.0497145  | 2p     | 2P*  | 3/2 | 8s     | 2S   | 1/2 |   4 - 2   |    |  T7771 |            |
                         |           3971.164910   | 25181.527909   |        | 2.6093e+06   | 1.2338e-02   | AAA  |  82258.9191133     -   [107440.447022]  | 2p     | 2P*  | 1/2 | 7d     | 2D   | 3/2 |   2 - 4   |    |  T7771 |            |
                         |           3971.166123   | 25181.52022    |        | 1.5289e+05   | 3.6147e-04   | AAA  |  82258.9191133     -   [107440.43933]   | 2p     | 2P*  | 1/2 | 7s     | 2S   | 1/2 |   2 - 2   |    |  T7771 |            |
                         |           3971.1679     | 25181.509      |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c54  |
                         |           3971.170473   | 25181.49263    |        | 1.7972e+06   | 8.4981e-03   | AAA  |  82258.9543992821  -   [107440.44703]   | 2s     | 2S   | 1/2 | 7p     | 2P*  | 3/2 |   2 - 4   |    |  T7771 |            |
                         |           3971.171687   | 25181.48493    |        |              |              |      |  82258.9543992821  -   [107440.43933]   | 2s     | 2S   | 1/2 | 7s     | 2S   | 1/2 |   2 - 2   | M1 |        |            |
                         |           3971.171818   | 25181.48410    |        | 1.7972e+06   | 4.2490e-03   | AAA  |  82258.9543992821  -   [107440.43850]   | 2s     | 2S   | 1/2 | 7p     | 2P*  | 1/2 |   2 - 2   |    |  T7771 |            |
                         |           3971.1951     | 25181.337      |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c55  |
           3971.198      |           3971.2020     | 25181.32       |  30000 | 4.3889e+05   | 1.2711e-02   | AAA  |  82259.158         -    107440.4508     | 2      |      |     | 7      |      |     |   8 - 98  |    |  T8637 |  L7436c29  |
                         |           3971.222163   | 25181.164865   |        | 3.1311e+06   | 1.1104e-02   | AAA  |  82259.2850014     -   [107440.449866]  | 2p     | 2P*  | 3/2 | 7d     | 2D   | 5/2 |   4 - 6   |    |  T7771 |            |
                         |           3971.2223     | 25181.1642     |        |              |              |      |                                         |        |      |     |        |      |     |           |    |        |       c56  |
                         |           3971.222611   | 25181.162021   |        | 5.2183e+05   | 1.2338e-03   | AAA  |  82259.2850014     -   [107440.447022]  | 2p     | 2P*  | 3/2 | 7d     | 2D   | 3/2 |   4 - 4   |    |  T7771 |            |
